id,required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
FIT0011,"Linux, Node.js, PyTorch, R, Scikit-learn, Tableau","Docker, Hadoop, Kubernetes, Linux, Pandas",Masters,0.0,1.0,0.0,0.31,"Node.js, PyTorch, R, Scikit-learn, Tableau"
FIT0012,"CI/CD, Java, JavaScript, NumPy, REST, SQL, TypeScript","AWS, CI/CD, Docker, Hadoop, Pandas, PyTorch, Python, SQL, TypeScript",Bachelors,,3.0,0.0,0.597,"Java, JavaScript, NumPy, REST"
FIT0013,"Docker, Flask, GraphQL, Hadoop, Kubernetes, NumPy, PyTorch, Spark","Django, GCP, Hadoop, Pandas",Masters,7.6,1.0,1.0,0.538,"Docker, Flask, GraphQL, Kubernetes, NumPy, PyTorch, Spark"
FIT0014,"Azure, Flask, Linux, NumPy, Power BI, Python, TensorFlow","Django, Flask, Git, Pandas, R, REST, TensorFlow",Bachelors,5.4,2.0,0.0,0.512,"Azure, Linux, NumPy, Power BI, Python"
FIT0015,"ETL, Excel, Git, JavaScript, Kubernetes, Power BI, REST","CI/CD, Django, Git, Hadoop, R, REST, Spark, Tableau, TensorFlow, TypeScript",Bachelors,5.1,2.0,0.0,0.503,"ETL, Excel, JavaScript, Kubernetes, Power BI"
FIT0016,"Airflow, Flask, Java, Pandas, Python, REST",,Masters,,3.0,0.0,0.657,"Java, Pandas, Python"
FIT0017,"Azure, Docker, ETL, JavaScript, PyTorch, SQL, TensorFlow","ETL, Excel, Flask, GraphQL, JavaScript, Linux, PyTorch, React, Tableau",Bachelors,5.8,3.0,0.0,0.624,"Azure, Docker, SQL, TensorFlow"
FIT0018,"AWS, Azure, Docker, GraphQL, Java, Kubernetes","ETL, GraphQL, NumPy, Pandas, Python, Spark",Masters,1.0,1.0,0.0,0.34,"AWS, Azure, Docker, Java, Kubernetes"
FIT0019,"ETL, GraphQL, Java, NumPy, TypeScript","ETL, Hadoop, Linux, PyTorch, REST, SQL, Scikit-learn, TypeScript",Bachelors,4.9,2.0,0.0,0.497,"GraphQL, Java, NumPy"
FIT0020,"Azure, Docker, ETL, Hadoop, JavaScript, REST, Spark, TypeScript",,Bachelors,0.0,1.0,0.0,0.25,
FIT0021,"AWS, ETL, GCP, Kubernetes, Tableau","AWS, Airflow, Django, Excel, Git, PyTorch, REST, Spark",Bachelors,2.4,1.0,0.0,0.322,"ETL, GCP, Kubernetes, Tableau"
FIT0022,"CI/CD, Flask, GraphQL, Hadoop, JavaScript, Kubernetes, Linux, SQL","Hadoop, React, Spark, Tableau",Bachelors,4.4,1.0,0.0,0.382,"CI/CD, Flask, GraphQL, JavaScript, Kubernetes, Linux, SQL"
FIT0023,"Docker, JavaScript, Tableau, TensorFlow, TypeScript","Django, Git, Hadoop, NumPy, Pandas, Power BI, SQL, Spark",Bachelors,3.7,0.0,0.0,0.261,"Docker, JavaScript, Tableau, TensorFlow, TypeScript"
FIT0024,"ETL, Hadoop, Kubernetes, Linux, Node.js, NumPy","AWS, Azure, Git, Linux, Node.js, Power BI, PyTorch, R, React",Bachelors,4.3,2.0,0.0,0.479,"ETL, Hadoop, Kubernetes, NumPy"
FIT0025,"AWS, Azure, Docker, ETL, Git, GraphQL, NumPy, TypeScript","Flask, Java, Linux, Power BI, PyTorch, React, Spark",Bachelors,0.6,0.0,0.0,0.168,"AWS, Azure, Docker, ETL, Git, GraphQL, NumPy, TypeScript"
FIT0026,"Docker, GCP, Linux, Power BI, TensorFlow","Excel, GCP, GraphQL, Hadoop, Java, Linux, Pandas, REST, Tableau, TypeScript",Masters,3.7,2.0,0.0,0.521,"Docker, Power BI, TensorFlow"
FIT0027,"Airflow, CI/CD, Flask, Linux, Python, Tableau, TypeScript","AWS, Django, Flask, Java, Kubernetes, Power BI, PyTorch, SQL",Bachelors,5.3,1.0,0.0,0.409,"Airflow, CI/CD, Linux, Python, Tableau, TypeScript"
FIT0028,"Airflow, Java, NumPy, R, REST, Scikit-learn, TensorFlow","Airflow, Docker, ETL, REST, React, Tableau, TypeScript",Bachelors,4.8,2.0,1.0,0.494,"Java, NumPy, R, Scikit-learn, TensorFlow"
FIT0029,"Django, ETL, Git, Hadoop, Linux, React, Spark","CI/CD, Java, JavaScript, Node.js",Bachelors,6.0,0.0,1.0,0.33,"Django, ETL, Git, Hadoop, Linux, React, Spark"
FIT0030,"AWS, Excel, Flask, JavaScript, TensorFlow","Airflow, CI/CD, Django, Flask, GraphQL, Node.js, NumPy, REST, SQL",Bachelors,4.0,1.0,0.0,0.37,"AWS, Excel, JavaScript, TensorFlow"
FIT0031,"AWS, Airflow, ETL, Excel, GCP, React, Spark, Tableau","Airflow, Azure, Django, ETL, Flask, GCP, Hadoop, JavaScript, Node.js, SQL",Bachelors,6.2,3.0,1.0,0.636,"AWS, Excel, React, Spark, Tableau"
FIT0032,"AWS, Git, Java, Node.js, NumPy, Pandas, R","Azure, GraphQL, Java, TypeScript",Masters,3.6,1.0,0.0,0.418,"AWS, Git, Node.js, NumPy, Pandas, R"
FIT0033,"Airflow, Excel, NumPy, Power BI, REST","AWS, CI/CD, Git, Linux, R, REST, SQL",Bachelors,2.8,1.0,1.0,0.334,"Airflow, Excel, NumPy, Power BI"
FIT0034,"Azure, ETL, Flask, Python, Scikit-learn, Spark, Tableau, TensorFlow","AWS, Airflow, CI/CD, Git, Hadoop, Java, Power BI",Masters,2.6,0.0,0.0,0.288,"Azure, ETL, Flask, Python, Scikit-learn, Spark, Tableau, TensorFlow"
FIT0035,"Airflow, Docker, Excel, Hadoop, SQL","Airflow, Excel, GCP, Linux, React, SQL",Bachelors,2.0,3.0,0.0,0.51,"Docker, Hadoop"
FIT0036,"GCP, Git, Hadoop, Node.js, NumPy, Pandas, Power BI, Tableau","GCP, JavaScript, Kubernetes, Python, REST, Scikit-learn, Spark",Masters,2.8,1.0,1.0,0.394,"Git, Hadoop, Node.js, NumPy, Pandas, Power BI, Tableau"
FIT0037,,"AWS, CI/CD, Flask, Kubernetes, Node.js, PyTorch",Masters,4.3,1.0,0.0,0.439,"ETL, R, Spark, TypeScript"
FIT0038,"GCP, GraphQL, NumPy, Power BI, R, Spark, TensorFlow","AWS, Azure, CI/CD, ETL, Excel, JavaScript, Pandas, PyTorch, Scikit-learn, Spark",Bachelors,3.4,1.0,0.0,0.352,"GCP, GraphQL, NumPy, Power BI, R, TensorFlow"
FIT0039,"Azure, GraphQL, JavaScript, Node.js, SQL","AWS, ETL, GraphQL, R, TensorFlow",Bachelors,5.0,1.0,1.0,0.4,"Azure, JavaScript, Node.js, SQL"
FIT0040,"Django, Hadoop, Node.js, R, React, Spark",,Bachelors,4.6,1.0,1.0,0.388,"Hadoop, Node.js, R, React, Spark"
FIT0041,"CI/CD, Excel, Java, JavaScript, Linux, Pandas, R","Azure, GCP, NumPy, REST, React, TypeScript",Bachelors,7.3,0.0,1.0,0.369,"CI/CD, Excel, Java, JavaScript, Linux, Pandas, R"
FIT0042,"Hadoop, Node.js, PyTorch, SQL, TensorFlow","CI/CD, Django, Docker, GraphQL, PyTorch, React",Bachelors,6.9,1.0,1.0,0.457,"Hadoop, Node.js, SQL, TensorFlow"
FIT0043,,"Docker, GCP, Hadoop, NumPy, R, React, TensorFlow",Masters,4.9,2.0,0.0,0.557,"AWS, Power BI, Python"
FIT0044,"Django, Git, GraphQL, Linux, Node.js","Git, Hadoop, Linux, Tableau",Bachelors,2.9,2.0,1.0,0.437,"Django, GraphQL, Node.js"
FIT0045,"GCP, Git, GraphQL, Java, JavaScript, Kubernetes, R, Scikit-learn","Airflow, Azure, Flask, Git, GraphQL, Linux, Pandas, Spark, TensorFlow",Bachelors,4.8,2.0,1.0,0.494,"GCP, Java, JavaScript, Kubernetes, R, Scikit-learn"
FIT0046,"AWS, Airflow, CI/CD, JavaScript, Spark","Airflow, Docker, JavaScript, Pandas, R, REST",Masters,6.7,2.0,1.0,0.611,"AWS, CI/CD, Spark"
FIT0047,"AWS, ETL, JavaScript, Pandas, TypeScript","GraphQL, REST, React, Scikit-learn, Tableau",Bachelors,3.1,0.0,0.0,0.243,"AWS, ETL, JavaScript, Pandas, TypeScript"
FIT0048,"AWS, Git, Python, R, SQL, Scikit-learn, Tableau","Excel, Flask, Git, Kubernetes, R",Masters,0.6,2.0,0.0,0.428,"AWS, Python, SQL, Scikit-learn, Tableau"
FIT0049,"Excel, GraphQL, Node.js, Pandas, PyTorch, TensorFlow","ETL, Excel, GCP, Git, Hadoop, JavaScript, Python, REST, SQL",Bachelors,1.8,1.0,1.0,0.304,"GraphQL, Node.js, Pandas, PyTorch, TensorFlow"
FIT0050,"Git, Java, React, Spark, TypeScript","Flask, GCP, JavaScript, Linux, Node.js, PyTorch, React, Spark",PhD,1.9,2.0,1.0,0.467,"Git, Java, TypeScript"
FIT0051,"Airflow, Flask, GraphQL, Java, Node.js, PyTorch, R","CI/CD, Django, Hadoop, Java, Pandas, React",Masters,4.0,1.0,1.0,0.43,"Airflow, Flask, GraphQL, Node.js, PyTorch, R"
FIT0052,"Docker, GCP, GraphQL, Java, Power BI, REST, Scikit-learn","Excel, Git, Tableau, TypeScript",PhD,2.7,,0.0,0.291,"Docker, GCP, GraphQL, Java, Power BI, REST, Scikit-learn"
FIT0053,"Azure, CI/CD, Django, Excel, Git, SQL","Azure, CI/CD, Excel, GraphQL, JavaScript, SQL",Bachelors,6.3,4.0,1.0,0.739,"Django, Git"
FIT0054,"AWS, GCP, NumPy, Pandas, React","Azure, ETL, Excel, Power BI, Scikit-learn, Spark, TensorFlow",Bachelors,1.7,0.0,0.0,0.201,"AWS, GCP, NumPy, Pandas, React"
FIT0055,"AWS, Azure, CI/CD, ETL, Kubernetes, REST, TensorFlow, TypeScript","Azure, Django, Node.js, React, Tableau",Bachelors,4.9,1.0,0.0,0.397,"AWS, CI/CD, ETL, Kubernetes, REST, TensorFlow, TypeScript"
FIT0056,"Airflow, CI/CD, Git, JavaScript, Node.js, Scikit-learn, Tableau","Django, Git, Node.js, Scikit-learn, Tableau",Masters,,4.0,1.0,0.691,"Airflow, CI/CD, JavaScript"
FIT0057,"CI/CD, ETL, GraphQL, R, REST","Airflow, CI/CD, Flask, GCP, Node.js, Tableau",Bachelors,4.4,1.0,0.0,0.382,"ETL, GraphQL, R, REST"
FIT0058,"Docker, Git, Linux, Power BI, Python, Scikit-learn","AWS, GraphQL, Hadoop, Kubernetes, Power BI, REST, SQL, Spark, Tableau",Bachelors,0.8,1.0,1.0,0.274,"Docker, Git, Linux, Python, Scikit-learn"
FIT0059,"GraphQL, NumPy, Python, React, Scikit-learn","Azure, Docker, Excel, R, SQL, Scikit-learn",Masters,6.4,1.0,1.0,0.502,"GraphQL, NumPy, Python, React"
FIT0060,"Azure, Docker, JavaScript, Kubernetes, Pandas, PyTorch, SQL, TensorFlow","AWS, ETL, Hadoop, Node.js, R",Bachelors,3.6,0.0,0.0,0.258,"Azure, Docker, JavaScript, Kubernetes, Pandas, PyTorch, SQL, TensorFlow"
FIT0061,"AWS, Airflow, CI/CD, Excel, Git, NumPy","GraphQL, R, Spark, TypeScript",Bachelors,6.1,0.0,1.0,0.333,"AWS, Airflow, CI/CD, Excel, Git, NumPy"
FIT0062,"AWS, Git, GraphQL, Linux, Node.js, Python, R","CI/CD, Docker, Flask, Hadoop, Java, Power BI, PyTorch, REST, SQL, Spark",Bachelors,5.5,0.0,0.0,0.315,"AWS, Git, GraphQL, Linux, Node.js, Python, R"
FIT0063,"GCP, JavaScript, Linux, Python, R, Scikit-learn, Spark","Git, Kubernetes, Node.js, NumPy, React",PhD,2.8,0.0,0.0,0.294,"GCP, JavaScript, Linux, Python, R, Scikit-learn, Spark"
FIT0064,"Airflow, CI/CD, Hadoop, Kubernetes, Linux, Power BI, Tableau, TensorFlow","Django, Docker, GCP, Git, Hadoop, JavaScript, NumPy, Pandas, Python, Spark",Bachelors,5.9,1.0,0.0,0.427,"Airflow, CI/CD, Kubernetes, Linux, Power BI, Tableau, TensorFlow"
FIT0065,"AWS, GCP, GraphQL, Kubernetes, Linux, NumPy","Git, JavaScript, Power BI, Python, REST, SQL, TensorFlow",Masters,1.1,0.0,0.0,0.243,"AWS, GCP, GraphQL, Kubernetes, Linux, NumPy"
FIT0066,"Docker, ETL, Java, Node.js, Pandas","Azure, Hadoop, Kubernetes, R",Masters,5.9,0.0,0.0,0.387,"Docker, ETL, Java, Node.js, Pandas"
FIT0067,"CI/CD, Git, GraphQL, JavaScript, Linux, Python","AWS, Airflow, CI/CD, JavaScript",Bachelors,,2.0,0.0,0.458,"Git, GraphQL, Linux, Python"
FIT0068,"Airflow, Flask, Hadoop, Python, Tableau","Airflow, Docker, GCP, JavaScript, Kubernetes, NumPy, Pandas, Python, React",Bachelors,5.0,2.0,1.0,0.5,"Flask, Hadoop, Tableau"
FIT0069,"Docker, Flask, Hadoop, Linux, Node.js, R","AWS, Azure, CI/CD, Docker, GCP, Hadoop, Python, REST",Bachelors,4.3,2.0,0.0,0.479,"Flask, Linux, Node.js, R"
FIT0070,"AWS, Flask, Power BI, Python, REST, SQL","GraphQL, JavaScript, PyTorch, R, Spark",PhD,3.3,0.0,1.0,0.309,"AWS, Flask, Power BI, Python, REST, SQL"
FIT0071,"Azure, Docker, Hadoop, Pandas, Python, Spark, Tableau, TypeScript","Azure, Docker, Flask, Java, NumPy, Power BI, Python, Tableau, TensorFlow",Bachelors,7.2,4.0,1.0,0.766,"Hadoop, Pandas, Spark, TypeScript"
FIT0072,"ETL, Kubernetes, Linux, Pandas, TypeScript","Excel, Hadoop, Node.js, REST, Scikit-learn, Spark, Tableau",Bachelors,3.3,0.0,0.0,0.249,"ETL, Kubernetes, Linux, Pandas, TypeScript"
FIT0073,"CI/CD, Flask, Git, GraphQL, Spark","Azure, CI/CD, Kubernetes, Node.js, Power BI, PyTorch, Python, TypeScript",Masters,2.1,1.0,0.0,0.373,"Flask, Git, GraphQL, Spark"
FIT0074,"ETL, GCP, Power BI, Python, SQL, Scikit-learn, Tableau, TensorFlow","Airflow, Git, Node.js, Python, REST, React, SQL, Tableau",No Degree,1.6,3.0,0.0,0.498,
FIT0075,"CI/CD, Docker, Git, Linux, React, Scikit-learn","CI/CD, ETL, Excel, GCP, JavaScript, Linux, SQL, Scikit-learn, Tableau",No Degree,2.3,3.0,0.0,0.519,"Docker, Git, React"
FIT0076,"Django, ETL, Flask, Java, Spark","AWS, Docker, Git, Kubernetes, R",Masters,1.8,0.0,0.0,0.264,"Django, ETL, Flask, Java, Spark"
,"Airflow, CI/CD, Docker, Kubernetes, Linux, Pandas, TypeScript","CI/CD, Git, Java, Kubernetes, Python, Tableau",Bachelors,0.5,2.0,0.0,0.365,"Airflow, Docker, Linux, Pandas, TypeScript"
FIT0078,"Git, JavaScript, PyTorch, Python, Scikit-learn","Azure, GraphQL, NumPy, Spark",Bachelors,2.7,0.0,0.0,0.231,"Git, JavaScript, PyTorch, Python, Scikit-learn"
FIT0079,"Airflow, ETL, Kubernetes, NumPy, Power BI, PyTorch, SQL, Tableau","AWS, Airflow, Django, Docker, Excel, Flask, Linux, Node.js, Scikit-learn",PhD,2.6,1.0,0.0,0.388,"ETL, Kubernetes, NumPy, Power BI, PyTorch, SQL, Tableau"
FIT0080,"Django, Git, GraphQL, Linux, R, TensorFlow","AWS, Django, Hadoop, Java, Node.js, NumPy, SQL, Spark, TypeScript",Masters,4.1,1.0,0.0,0.433,"Git, GraphQL, Linux, R, TensorFlow"
FIT0081,"AWS, Java, Power BI, React, SQL, TensorFlow","ETL, Flask, Git, Java, JavaScript, Pandas, PyTorch, Python, Scikit-learn, TypeScript",Masters,0.0,1.0,0.0,0.31,"AWS, Power BI, React, SQL, TensorFlow"
FIT0082,"AWS, Azure, Java, Kubernetes, Node.js, Power BI, TypeScript","Airflow, Azure, GCP, GraphQL, JavaScript, Kubernetes, Linux, R, Scikit-learn, TypeScript",PhD,5.3,3.0,1.0,0.669,"AWS, Java, Node.js, Power BI"
FIT0083,"Django, ETL, Git, Linux, Python, R","Git, GraphQL, Python, TensorFlow",,0.6,,0.0,0.368,"Django, ETL, Linux, R"
FIT0084,"AWS, Azure, CI/CD, Java, JavaScript, Power BI, REST","AWS, ETL, Excel, GCP, Git, Java, JavaScript, Pandas, Power BI, Python",Masters,6.8,4.0,1.0,0.814,"Azure, CI/CD, REST"
FIT0085,"Linux, Pandas, Python, REST, React, SQL, TypeScript","AWS, JavaScript, Node.js, Power BI, Python",Bachelors,3.7,1.0,0.0,0.361,"Linux, Pandas, REST, React, SQL, TypeScript"
FIT0086,"ETL, Hadoop, Node.js, PyTorch, REST","AWS, Airflow, GCP, Linux, Node.js, REST",Bachelors,1.2,2.0,1.0,0.386,"ETL, Hadoop, PyTorch"
FIT0087,"Django, Docker, ETL, Excel, Git, Java, NumPy, Power BI","CI/CD, Git, Hadoop, JavaScript, Node.js, Pandas, REST, Spark, TypeScript",Bachelors,5.2,1.0,0.0,0.406,"Django, Docker, ETL, Excel, Java, NumPy, Power BI"
FIT0088,"CI/CD, Flask, JavaScript, Kubernetes, R, REST, Spark","Git, JavaScript, SQL, Spark, Tableau",Bachelors,2.1,2.0,1.0,0.413,"CI/CD, Flask, Kubernetes, R, REST"
FIT0089,"Airflow, Git, GraphQL, Linux, Node.js, Pandas, Scikit-learn","AWS, Django, Java, JavaScript, R, React",Masters,6.4,0.0,0.0,0.402,"Airflow, Git, GraphQL, Linux, Node.js, Pandas, Scikit-learn"
FIT0090,"ETL, Git, JavaScript, Linux, Pandas",,Bachelors,4.6,2.0,1.0,0.488,"ETL, Linux, Pandas"
FIT0091,"Django, ETL, Hadoop, Node.js, Power BI, R, TypeScript","Azure, CI/CD, GCP, Hadoop, Kubernetes, Node.js, Pandas, React",Masters,1.7,2.0,1.0,0.461,"Django, ETL, Power BI, R, TypeScript"
FIT0092,"GCP, JavaScript, Python, REST, TypeScript","Airflow, CI/CD, Flask, Java, NumPy, SQL, Tableau, TensorFlow",Bachelors,3.7,0.0,0.0,0.261,"GCP, JavaScript, Python, REST, TypeScript"
FIT0093,"ETL, Hadoop, PyTorch, R, SQL, Scikit-learn, Tableau, TypeScript","Git, GraphQL, Node.js, React",Bachelors,1.9,0.0,0.0,0.207,"ETL, Hadoop, PyTorch, R, SQL, Scikit-learn, Tableau, TypeScript"
FIT0094,"Azure, Django, Python, Tableau, TensorFlow","Django, Hadoop, JavaScript, Spark",Bachelors,4.4,1.0,1.0,0.382,"Azure, Python, Tableau, TensorFlow"
FIT0095,"ETL, GCP, Hadoop, Java, SQL","Docker, Kubernetes, Linux, Python",Bachelors,1.3,0.0,0.0,0.189,"ETL, GCP, Hadoop, Java, SQL"
FIT0096,"CI/CD, Excel, Hadoop, NumPy, Pandas, REST","Airflow, Azure, Excel, GraphQL, JavaScript, Node.js, NumPy, Pandas, Scikit-learn",Bachelors,,3.0,0.0,0.558,"CI/CD, Hadoop, REST"
FIT0097,,"CI/CD, ETL, Excel, Git, Kubernetes, Pandas, React, Tableau",Bachelors,1.4,1.0,1.0,0.292,"Flask, Linux, R, REST, TensorFlow, TypeScript"
FIT0098,"AWS, Airflow, Excel, GraphQL, Power BI, React","Airflow, CI/CD, ETL, NumPy, Python, R",Bachelors,1.4,1.0,1.0,0.292,"AWS, Excel, GraphQL, Power BI, React"
FIT0099,"ETL, Kubernetes, Python, REST, TypeScript","Docker, Hadoop, Node.js, Python, REST, TensorFlow",Masters,3.5,2.0,0.0,0.515,"ETL, Kubernetes, TypeScript"
FIT0100,"AWS, Airflow, GCP, Pandas, PyTorch, Python, React","CI/CD, Excel, Kubernetes, PyTorch, REST, SQL, Scikit-learn",Bachelors,1.8,1.0,1.0,0.304,"AWS, Airflow, GCP, Pandas, Python, React"
FIT0101,"Hadoop, Linux, REST, React, SQL","Docker, GCP, NumPy, SQL, Tableau",Bachelors,4.8,1.0,0.0,0.394,"Hadoop, Linux, REST, React"
FIT0102,"AWS, Flask, GCP, GraphQL, Hadoop, Linux, Scikit-learn","Docker, Flask, Kubernetes, Node.js, Python, R, Spark",Bachelors,5.1,1.0,0.0,0.403,"AWS, GCP, GraphQL, Hadoop, Linux, Scikit-learn"
FIT0103,"Django, Excel, Java, Linux, NumPy, React, TypeScript","Flask, GCP, Git, NumPy, Power BI, PyTorch, REST",Bachelors,5.2,1.0,0.0,0.406,"Django, Excel, Java, Linux, React, TypeScript"
FIT0104,"Azure, Django, JavaScript, Pandas, Python, R, Scikit-learn, TensorFlow","Django, Flask, Git, Kubernetes, PyTorch, R, TypeScript",Bachelors,5.0,2.0,1.0,0.5,"Azure, JavaScript, Pandas, Python, Scikit-learn, TensorFlow"
FIT0105,"Docker, ETL, Flask, Git, JavaScript, NumPy, React","Docker, ETL, Node.js, PyTorch, TypeScript",PhD,3.2,2.0,0.0,0.506,"Flask, Git, JavaScript, NumPy, React"
FIT0106,"Django, Docker, Hadoop, JavaScript, NumPy, PyTorch, Scikit-learn, Spark","Airflow, Azure, Java, Kubernetes, Node.js, REST",Masters,3.5,0.0,,0.315,"Django, Docker, Hadoop, JavaScript, NumPy, PyTorch, Scikit-learn, Spark"
FIT0107,"GCP, JavaScript, Kubernetes, Pandas, REST, React","Airflow, Django, GCP, Node.js, Power BI, Python, REST",PhD,4.0,,0.0,0.53,"JavaScript, Kubernetes, Pandas, React"
FIT0108,"Docker, GCP, Node.js, React, Spark, TypeScript","Excel, Flask, Java, Linux, Power BI",Bachelors,0.1,0.0,1.0,0.153,"Docker, GCP, Node.js, React, Spark, TypeScript"
FIT0109,"CI/CD, Linux, Pandas, Power BI, React, TypeScript","AWS, Airflow, GCP, Git, JavaScript, Kubernetes, NumPy, Python, R, Spark",Bachelors,7.8,0.0,1.0,0.384,"CI/CD, Linux, Pandas, Power BI, React, TypeScript"
FIT0110,"Django, ETL, Hadoop, JavaScript, NumPy, Tableau","AWS, Airflow, CI/CD, Excel, Flask, Kubernetes, Node.js, NumPy, Pandas, SQL",Bachelors,2.7,1.0,1.0,0.331,"Django, ETL, Hadoop, JavaScript, Tableau"
FIT0111,"ETL, Flask, Git, Python, R, SQL","Docker, ETL, Hadoop, JavaScript, Tableau",Bachelors,5.9,1.0,0.0,0.427,"Flask, Git, Python, R, SQL"
FIT0112,"Airflow, Docker, Excel, Git, Node.js, Python, React, Tableau","Azure, Django, ETL, Java, NumPy, Pandas, R, REST, SQL, TypeScript",Bachelors,2.6,0.0,0.0,0.228,"Airflow, Docker, Excel, Git, Node.js, Python, React, Tableau"
FIT0113,"Azure, Pandas, REST, React, TypeScript","Excel, GCP, GraphQL, Power BI, React, Spark, TensorFlow",Masters,4.0,1.0,0.0,0.43,"Azure, Pandas, REST, TypeScript"
FIT0114,"AWS, CI/CD, Excel, GCP, Java, Kubernetes, R, SQL","GCP, R, React, TypeScript",Bachelors,1.9,2.0,1.0,0.407,"AWS, CI/CD, Excel, Java, Kubernetes, SQL"
FIT0115,"JavaScript, Linux, NumPy, R, Spark, TensorFlow","GraphQL, PyTorch, Spark, Tableau",Masters,3.2,1.0,0.0,0.406,"JavaScript, Linux, NumPy, R, TensorFlow"
FIT0116,"AWS, CI/CD, ETL, Git, Java, Linux","AWS, Flask, GraphQL, Hadoop, Node.js, Power BI, PyTorch, React, SQL, TypeScript",Bachelors,2.4,1.0,1.0,0.322,"CI/CD, ETL, Git, Java, Linux"
FIT0117,"CI/CD, GCP, Git, Power BI, Python, Scikit-learn, Spark, Tableau","Hadoop, Node.js, NumPy, React, SQL, TensorFlow",Bachelors,3.7,0.0,1.0,0.261,"CI/CD, GCP, Git, Power BI, Python, Scikit-learn, Spark, Tableau"
FIT0118,"Azure, CI/CD, JavaScript, NumPy, Power BI, PyTorch, TensorFlow, TypeScript","Django, Docker, JavaScript, Kubernetes, R, SQL",PhD,5.4,1.0,0.0,0.472,"Azure, CI/CD, NumPy, Power BI, PyTorch, TensorFlow, TypeScript"
,"Django, Git, JavaScript, NumPy, Power BI, Python, React","CI/CD, Kubernetes, Python, R, REST, SQL, Spark, TensorFlow",Masters,2.8,1.0,0.0,0.394,"Django, Git, JavaScript, NumPy, Power BI, React"
FIT0120,"Git, Java, NumPy, SQL, TypeScript","Flask, Hadoop, Java, Linux, NumPy, Scikit-learn, Tableau",Bachelors,4.7,2.0,0.0,0.491,"Git, SQL, TypeScript"
FIT0121,"Hadoop, Java, NumPy, Power BI, Python, Spark, TypeScript","Airflow, Docker, Flask, JavaScript, Pandas, PyTorch, Python, Scikit-learn, Tableau, TensorFlow",Bachelors,4.5,1.0,1.0,0.385,"Hadoop, Java, NumPy, Power BI, Spark, TypeScript"
FIT0122,"CI/CD, Flask, Kubernetes, Scikit-learn, TypeScript","AWS, Airflow, Flask, Git, Hadoop, Node.js, Pandas",Masters,4.0,1.0,1.0,0.43,"CI/CD, Kubernetes, Scikit-learn, TypeScript"
FIT0123,"ETL, Hadoop, R, Spark, TypeScript","Airflow, CI/CD, Excel, Flask, Java, Spark",Masters,2.5,1.0,1.0,0.385,"ETL, Hadoop, R, TypeScript"
FIT0124,"Excel, Flask, Git, Hadoop, JavaScript, NumPy, Power BI","CI/CD, Python, Scikit-learn, TensorFlow",PhD,0.2,0.0,1.0,0.216,"Excel, Flask, Git, Hadoop, JavaScript, NumPy, Power BI"
